dataset,model,baseline_method,n_matched,n_bootstrap,metric,delta_mean,ci_low,ci_high,p_positive,significant_positive,significant_negative,skip_reason
triviaqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,AUROC,0.03609329776970649,0.01983934948788635,0.0513889838440421,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,AUPRC,0.03350415645171034,0.01708674935950299,0.04113644739946826,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,AUARC,0.026538914481787024,0.013331428514969035,0.032498212520904575,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,ECE,0.12551253706946924,0.09718553632624065,0.1486327171848311,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,Brier,0.061414064548325015,0.04783610245725056,0.07368898030895638,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,AUROC,0.03609329776970649,0.02112908028708339,0.051103010315194625,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,AUPRC,0.03350415645171034,0.017382728577252145,0.04173327853021555,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,AUARC,0.026538914481787024,0.013681124833382645,0.032542532843742256,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,ECE,0.12551253706946924,0.09711219731204818,0.1484783789333901,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,Brier,0.061414064548325015,0.048636919054647905,0.0748177339745671,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,AUROC,0.07956931553776225,0.05907549221741392,0.09961470574774682,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,AUPRC,0.058197143138251195,0.03858570600650692,0.06953990920983287,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,AUARC,0.047043335318081914,0.031186244962951606,0.05568250124569649,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,ECE,0.14261664273070443,0.11367854485663546,0.16629639082794434,1.0,True,False,
